BREWERS_PITCHER,PITCHER_ID,STADIUM,DATE_TIME,BATTER_SIDE,PITCH_TYPE,COUNT,REL_HEIGHT,REL_SIDE,EXTENSION,VELOCITY,INDUCED_VERT_BREAK,HORZ_BREAK,SPIN_RATE,TEMPERATURE,OUTS,PITCH_CALL,PLAY_RESULT
"Sanchez, Dikember",699129,,2025-04-21 14:31:11.350,,FC,,5.517612921,2.873759137,5.333740524,79.59665,5.650168604,5.375520909,2018.408057,,,,
"Flores, Anthony",800260,,2025-04-21 14:38:05.410,,CU,,5.30148,-1.93882,,77.00487,-1.47274,15.38856,3049.873296,,,,
"Seppings, Jack",808952,Segra Park,2025-04-22 16:47:00.387,R,SW,22,5.682563216,2.697128753,6.720243276,81.62856932,0.8958040551,-14.173542808,2656.912499212,74,2,Ball,
"Seppings, Jack",808952,Segra Park,2025-04-22 17:04:42.263,L,CH,21,6.011045375,2.962541794,6.251739276,84.270200676,3.70969274,8.424152307,1469.259873123,74,0,Ball,
"Seppings, Jack",808952,Segra Park,2025-04-22 17:01:32.690,R,FC,00,5.934999308,2.853349153,6.270657328,84.179240868,3.607701859,0.002221634739,2565.308965221,74,0,"In Play, No Out",Single
"Root, Bayden",694843,,2025-04-22 15:26:10.000,,SI,,5.223257,1.642889834,7.353973722,82.69651,0.5528418205,16.179961489,2120.22943,,,,
"Letson, Bishop",811309,,2025-04-22 15:17:32.740,,FA,,5.732272974,1.759139955,8.103079853,88.65001,14.988013396,7.577660141,2522.075962,,,,
"Broca, Jesus",695871,,2025-04-22 15:23:07.290,,CH,,5.931018629,-1.97872589,5.874332476,78.48738,1.879018388,-14.593708042,1827.19887,,,,
"Root, Bayden",694843,,2025-04-22 15:29:18.640,,SI,,5.043840024,1.637735234,7.195313722,90.46926,3.081002666,17.340731925,2088.550408,,,,
"Broca, Jesus",695871,,2025-04-22 15:22:55.410,,CH,,5.861397411,-2.067500995,5.984972476,78.14934,4.42071786,-14.297734277,1800.115625,,,,
"Root, Bayden",694843,,2025-04-22 15:26:23.980,,SW,,5.198989411,1.454316357,6.806811356,79.89745,-4.594868168,-14.806630333,2702.427564,,,,
"Aquino, Patricio",699223,VeteransMemorial,2025-04-22 20:38:22.050,R,SI,12,5.466753536,2.30012131,5.955019181,93.27212,13.840723539,12.89846635,2169.664606,72,2,In Play,Out
"Rodriguez, Manuel",804973,VeteransMemorial,2025-04-22 19:28:13.540,R,FA,00,5.63363362,2.23521163,6.081254393,87.60177,13.015436248,-3.20875633,2647.072735,72,1,Ball,
"Rund, Aaron",810921,VeteransMemorial,2025-04-22 20:07:03.950,R,SL,00,4.972024604,1.348592294,6.809099255,87.38387,5.050255218,-0.5659672899,2340.94263,72,1,Ball,
"Rodriguez, Manuel",804973,VeteransMemorial,2025-04-22 19:14:48.650,R,FA,21,5.666538026,2.237421425,6.068084393,88.15503,17.396825861,1.106041685,2691.906037,72,0,Foul,
"Rodriguez, Manuel",804973,VeteransMemorial,2025-04-22 19:04:02.130,R,FA,01,5.707497928,2.110807845,5.998394393,87.497,12.932291672,-3.99926033,2738.415187,72,2,In Play,Out
"Rund, Aaron",810921,VeteransMemorial,2025-04-22 20:03:38.860,R,SW,02,4.710120545,1.404376442,6.698345584,82.61322,0.3632448769,-7.906754862,2574.55264,72,1,Ball,
"Rodriguez, Yerlin",693750,VeteransMemorial,2025-04-22 20:54:52.180,R,SL,10,5.651428489,1.564844488,5.894229255,90.62945,0.2532560859,-4.416244363,2864.209432,72,2,Swinging Strike,
"Aquino, Patricio",699223,VeteransMemorial,2025-04-22 20:37:36.400,R,FA,01,5.409757134,2.349703107,6.082704393,92.24787,12.796318728,10.762598224,2222.823053,72,2,Foul,
"Rund, Aaron",810921,VeteransMemorial,2025-04-22 20:03:21.360,R,SW,01,4.740650884,1.485328864,6.548075584,81.07654,5.057589387,-7.777342227,2539.731043,72,1,Called Strike,
"Aquino, Patricio",699223,VeteransMemorial,2025-04-22 20:33:51.060,R,SL,00,5.263036703,2.832362207,5.725489255,78.69225,3.459990841,-2.981046974,2244.449928,72,0,Swinging Strike,
"Rodriguez, Manuel",804973,VeteransMemorial,2025-04-22 19:00:03.320,R,FC,32,5.662166161,2.204833549,6.05278117,82.36996,10.185814513,-5.287125194,2639.678218,72,1,Foul,
"Rodriguez, Manuel",804973,VeteransMemorial,2025-04-22 18:59:20.140,R,FA,21,5.685088923,2.187673015,6.078504393,88.58758,13.690809278,-2.305702196,2772.758773,72,1,Swinging Strike,
"Rodriguez, Manuel",804973,VeteransMemorial,2025-04-22 19:00:23.430,R,FC,32,5.67921407,2.273442634,6.18791117,81.88146,10.102253678,-10.620294085,2671.83892,72,1,Foul,
"Rodriguez, Yerlin",693750,VeteransMemorial,2025-04-22 20:59:03.610,R,SL,21,5.632394839,1.81777431,5.670929255,90.60509,-2.466329369,-5.678874706,2968.513336,72,2,In Play,Home Run
"Rodriguez, Manuel",804973,VeteransMemorial,2025-04-22 18:42:09.140,R,FC,10,5.731296696,2.118849356,5.90813117,81.02562,14.189325168,-11.224421812,2722.908781,72,1,Called Strike,
"Rodriguez, Manuel",804973,VeteransMemorial,2025-04-22 19:27:21.300,R,FA,21,5.650084754,2.204714465,6.043094393,87.95407,13.458321622,0.4305641582,2722.691248,72,0,Foul,
"Aquino, Patricio",699223,VeteransMemorial,2025-04-22 20:36:41.210,R,FA,01,5.323254853,2.643694757,5.831074393,91.4672,13.031230904,12.382605432,2218.806103,72,1,In Play,Out
"Rund, Aaron",810921,VeteransMemorial,2025-04-22 20:03:04.540,R,SI,00,4.630869375,1.464279426,6.573089181,93.60262,8.272525645,15.097273133,2144.122812,72,1,Called Strike,
"Rodriguez, Manuel",804973,VeteransMemorial,2025-04-22 19:27:02.220,R,FC,11,5.613715491,2.157364823,5.95581117,81.32462,8.963324941,-9.294649873,2548.485084,72,0,Ball,
"Aquino, Patricio",699223,VeteransMemorial,2025-04-22 20:34:06.470,R,SL,01,5.233103542,2.608145726,5.642109255,80.67732,4.233263278,-2.669398417,2248.110205,72,0,In Play,Single
"Rodriguez, Manuel",804973,VeteransMemorial,2025-04-22 19:14:15.170,R,FA,01,5.78747185,2.202512165,5.852704393,86.62897,12.721384909,-0.7495287948,2761.741264,72,0,Ball,
"Rodriguez, Manuel",804973,VeteransMemorial,2025-04-22 18:55:29.900,R,FC,00,5.792063817,2.121619469,5.89789117,81.49155,15.239695698,-10.663014248,2567.726811,72,0,Ball,
"Aquino, Patricio",699223,VeteransMemorial,2025-04-22 20:34:45.750,R,SI,00,5.277378243,2.649465925,5.696699181,89.36286,8.357809282,16.331349366,2081.913876,72,0,Ball,
"Rodriguez, Manuel",804973,VeteransMemorial,2025-04-22 19:32:46.960,R,FC,01,5.616468431,2.228876692,5.97064117,80.78138,5.182762059,-15.319951542,2523.514057,72,2,Called Strike,
"Aquino, Patricio",699223,VeteransMemorial,2025-04-22 20:19:07.050,R,SL,00,5.302201112,2.608248895,5.721899255,80.02854,2.380210706,-3.22005476,2210.648589,72,0,In Play,Out
"Rodriguez, Manuel",804973,VeteransMemorial,2025-04-22 19:19:00.180,R,SI,11,5.622432276,2.139655729,5.997179181,89.09777,14.256779957,5.500725973,2719.969914,72,2,Swinging Strike,
"Aquino, Patricio",699223,VeteransMemorial,2025-04-22 20:23:48.580,R,FA,11,5.289338703,2.735933304,6.035454393,87.33073,13.668872707,10.130527159,2082.879995,72,2,Foul,
"Birchard, Ryan",804670,VeteransMemorial,2025-04-23 19:28:58.680,R,FA,00,6.375672579,-0.7525493627,6.830657677,90.98409,21.818360731,2.288940814,2180.561852,75,0,Ball,
