BREWERS_PITCHER,PITCHER_ID,STADIUM,DATE_TIME,BATTER_SIDE,PITCH_TYPE,COUNT,REL_HEIGHT,REL_SIDE,EXTENSION,VELOCITY,INDUCED_VERT_BREAK,HORZ_BREAK,SPIN_RATE,TEMPERATURE,OUTS,PITCH_CALL,PLAY_RESULT
"DeBerry, Jaron",809229,,2025-04-08 10:05:18.530,,FC,,4.938019954,1.598521902,6.574110766,84.32117,0.2514311561,-4.985177491,2611.952605,,,,
"Rodriguez, Manuel",804973,,2025-04-08 15:06:52.400,,SW,,6.227246804,2.367639391,6.775136195,74.25274,-2.272692945,-12.085212792,2535.290644,,,,
"Rund, Aaron",810921,,2025-04-08 15:42:48.780,,SL,,5.407903385,2.089900763,6.932797426,77.39098,3.072464765,3.670144505,2275.842934,,,,
"Root, Bayden",694843,,2025-04-08 15:29:17.600,,FA,,5.518522505,1.670644928,7.376650095,87.42322,6.21430865,16.803319105,2034.835209,,,,
"Flores, Anthony",800260,,2025-04-08 15:16:59.890,,SL,,5.541390369,-1.843759249,6.190027426,83.58398,2.417325212,2.720185029,1398.914204,,,,
"Letson, Bishop",811309,,2025-04-08 15:35:09.730,,CH,,5.559492614,2.006819274,8.377227736,80.26208,9.19963092,21.947416031,2096.782554,,,,
"Letson, Bishop",811309,,2025-04-08 15:38:07.020,,SW,,5.378272886,2.333630131,8.171536195,77.20446,1.741693911,-16.227957,2307.036038,,,,
"Flores, Anthony",800260,,2025-04-08 15:22:40.990,,CU,,6.01697496,-1.642892408,6.171230775,78.92222,-6.79448427,16.997646681,3096.765545,,,,
"Sanchez, Dikember",699129,,2025-04-08 15:27:09.760,,SL,,5.910096351,3.098056276,5.795097426,78.68549,0.6487520337,-6.211406714,2485.720574,,,,
"Flores, Anthony",800260,,2025-04-08 15:19:17.430,,FC,,5.623187825,-1.900827888,6.744970766,85.71251,10.772899733,-5.285225364,2590.458319,,,,
"Rodriguez, Manuel",804973,,2025-04-08 15:07:27.760,,SI,,6.124119718,2.261681999,6.797323964,85.47555,12.962083276,11.339222229,2335.512193,,,,
"Flores, Anthony",800260,,2025-04-08 15:21:52.190,,SL,,5.577321112,-1.929212717,6.372557426,84.6395,1.153826256,3.129538853,,,,,
"Rodriguez, Manuel",804973,,2025-04-08 15:11:11.460,,SI,,6.117860971,2.25013475,6.803913964,86.13861,19.003398588,9.018551785,2363.054642,,,,
"Flores, Anthony",800260,,2025-04-08 15:23:36.680,,FC,,5.664317022,-1.912737353,6.917990766,86.78147,10.372418899,-0.7947015018,2595.619357,,,,
"Root, Bayden",694843,,2025-04-08 15:30:18.030,,FA,,5.412385256,1.445324746,7.413240095,89.34541,4.841536879,13.091548904,1981.442372,,,,
"Letson, Bishop",811309,,2025-04-08 15:36:19.650,,FA,,5.829431738,1.690333616,8.478380095,88.11035,19.234539254,8.648757788,2397.799033,,,,
"Gillis, Tanner",828705,,2025-04-08 17:12:14.990,,FA,,4.885697575,2.316589902,7.264260095,88.49903,16.703079387,14.117125801,2312.416305,,,,
"Rund, Aaron",810921,Modern Woodmen Park,2025-04-09 01:06:41.698,L,SW,12,4.92617412,1.698055511,6.551137724,79.72412611,6.349421497,-13.762259721,2532.496456765,48,1,Ball,
"Rund, Aaron",810921,Modern Woodmen Park,2025-04-09 01:08:43.589,R,SI,00,4.745639574,1.574468611,6.713522555,93.107424418,9.805649486,14.101776049,2172.130519258,48,2,Called Strike,
"Rund, Aaron",810921,Modern Woodmen Park,2025-04-09 00:59:03.420,R,SI,00,4.776968028,1.532441787,6.804789516,91.654668992,2.279238798,15.949150322,2077.269649054,48,0,Ball,
